,Actor,Count,Rank
745,胡东,1,3
746,马京京,1,3
747,林朝绪,1,3
748,言杰,1,3
749,汪汐潮,1,3
750,詹妮弗·洛芙·休伊特,1,3
751,布瑞金·梅耶,1,3
752,斯蒂芬·托布罗斯基,2,3
753,小罗伯特·唐尼,8,3
754,劳米·拉佩斯,2,3
755,斯蒂芬·弗雷,5,3
756,凯利·蕾莉,3,3
757,杰瑞德·哈里斯,2,3
758,杰拉丁妮·詹姆斯,2,3
759,威廉·休斯顿,1,3
760,保罗·安德森,2,3
761,陈道明,5,3
762,甄子丹,6,3
763,梅艳芳,1,3
764,张国荣,9,3
765,万梓良,1,3
766,朱宝意,2,3
767,温碧霞,1,3
768,谭倩红,1,3
769,谢贤,2,3
770,汪禹,1,3
771,刘家荣,1,3
772,惠英红,2,3
773,朱瑞棠,1,3
774,AmirFarrokhHashemian,1,3
775,默罕默德·阿米尔·纳吉,1,3
776,BahareSeddiqi,1,3
777,NafiseJafar-Mohammadi,1,3
778,FereshteSarabandi,1,3
779,池胁千鹤,1,3
780,袴田吉彦,1,3
781,丹波哲郎,1,3
782,前田亚季,1,3
783,山田孝之,1,3
784,佐藤仁美,1,3
785,佐户井贤太,1,3
786,滨田岳,1,3
787,渡边哲,2,3
788,斋藤洋介,1,3
789,冈江久美子,1,3
790,托马斯·简,2,3
791,马西娅·盖伊·哈登,3,3
792,劳瑞·侯登,2,3
793,安德鲁·布劳尔,2,3
794,托比·琼斯,5,3
795,威廉姆·赛德勒,3,3
796,内森·甘宝,1,3
797,水田山葵,1,3
798,大原惠美,1,3
799,嘉数由美,1,3
800,木村昴,1,3
801,关智一,1,3
802,本·斯蒂勒,4,3
803,克里斯·洛克,2,3
804,贾达·萍克·史密斯,4,3
805,萨莎·拜伦·科恩,4,3
806,弗兰西斯·麦克多蒙德,2,3
807,杰西卡·查斯坦,3,3
808,蕾妮·齐薇格,1,3
809,科林·费尔斯,5,3
810,休·格兰特,4,3
811,吉姆·布劳德本特,4,3
812,雪莉·亨德森,2,3
813,莎莉·菲利普斯,1,3
814,詹姆斯·卡利斯,1,3
815,格雷格·T·尼尔森,1,3
816,霍利·亨特,2,3
817,杰森·李,1,3
818,泰迪·牛顿,1,3
819,华莱士·肖恩,1,3
820,洪金宝,2,3
821,熊黛林,3,3
822,郑则仕,1,3
823,敖嘉年,1,3
824,杜宇航,2,3
825,达伦·萨赫拉维,1,3
826,释小龙,1,3
827,任达华,4,3
828,郑家星,1,3
829,陆梅芳,1,3
830,莫蕾娜·巴卡林,1,3
831,艾德·斯克林,1,3
832,T·J·米勒,5,3
