type,status,isSend,content,content2,talkerId
1,3,0,wxid_1252782525412,有钱任性,1569
1,2,1,美元换人民币,,1569
1,2,1,浪,,1569
1,2,1,亏死了,,1569
1,2,1,人民银行,,1569
1,2,1,人民银行,,1569
1,2,1,润物细无声,,1569
1,3,0,kuaful,你损失多少？,1569
1,3,0,kuaful,报个数,1569
1,2,1,我有故事,,1569
1,2,1,你,,1569
1,2,1,有,,1569
1,2,1,没,,1569
1,2,1,有,,1569
1,2,1,酒,,1569
1,3,0,wxid_1252782525412,限行秋石高架可以走不？@我是如此想小心?,1569
1,3,0,kuaful,不可以,1569
1,3,0,kuaful,高架全路段限行,1569
1,3,0,wxid_1252782525412,浪,1569
1,3,0,wxid_1252782525412,干瞪眼了,1569
1,3,0,kuaful,你先回答@我爱周星驰?的问题,1569
1,3,0,wxid_1252782525412,有,1569
47,2,1,wxid_0mkad3zxhnsr22,1.50E+12,1569
3,2,1,,,1569
3,3,0,wxid_1252782525412,,1569
1,2,1,去看看科长啊,,1569
1,2,1,@小心我来了?代表慰问,,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,很忙,1569
1,3,0,kuaful,勿扰,1569
1,3,0,kuaful,人民的名义,1569
1,3,0,q32444005,四点多的照片,1569
1,3,0,q32444005,浪,1569
1,3,0,q32444005,备用的,1569
1,3,0,kuaful,？,1569
1,3,0,kuaful,浪,1569
1,3,0,kuaful,你们精呢。电脑有点问题,1569
1,3,0,kuaful,我重启下,1569
47,3,0,kuaful,0,1569
47,3,0,kuaful,0,1569
47,3,0,kuaful,0,1569
47,2,1,wxid_0mkad3zxhnsr22,1.50E+12,1569
47,3,0,wxid_1252782525412,0,1569
1,2,1,@我是如此想小心?重启了以后看看瞧,,1569
1,3,0,q32444005,唉，这个班加的,1569
1,3,0,q32444005,科长呢,1569
1,3,0,q32444005,加班的同学来个照片,1569
10000,3,0,simmon撤回了一条消息,,1569
1,3,0,kuaful,清者自清,1569
48,3,0,kuaful,,1569
1,3,0,kuaful,黑爷你到杭州啦？,1569
1,2,1,@我是如此想小心?再拍,,1569
1,2,1,加班的同学来个照片,,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,正在加班,1569
1,3,0,kuaful,你们想多了,1569
1,3,0,kuaful,抱歉,1569
1,3,0,kuaful,让你们失望了,1569
1,3,0,kuaful,人民的名义,1569
1,2,1,@我是如此想小心?拍个21点的,,1569
1,2,1,同一个文档,,1569
1,2,1,@我是如此想小心?,,1569
1,2,1,行动起来,,1569
3,2,1,,,1569
1,2,1,人民银行,,1569
3,3,0,q32444005,,1569
1,2,1,哦尼酱,,1569
3,2,1,,,1569
436207665,2,1,"<msg><appmsgappid=""""sdkver=""""><des><![CDATA[我给你发了一个红包，赶紧去拆!祝：恭喜发财，大吉大利！]]></des><url><![CDATA[https",//wxapp.tenpay.com/mmpayhb/wxhb_personalreceive?showwxpaytitle=1&msgtype=1&channelid=1&sendid=1000039401201708287058313503206]]></url><type><![CDATA[2001]]></type><title><![CDATA[微信红包]]></title><thumburl><![CDATA[http,1569
10000,4,0,"<imgsrc=""SystemMessages_HongbaoIcon.png""/>姜海东领取了你的<_wc_custom_link_color=""#FD9931""href=""weixin","//weixinhongbao/opendetail?sendid=1000039401201708287058313503206"">红包</_wc_custom_link_>",1569
10000,3,0,"<imgsrc=""SystemMessages_HongbaoIcon.png""/>你领取了哈哈哈的<_wc_custom_link_color=""#FD9931""href=""weixin","//weixinhongbao/opendetail?sendid=1000039401201708287058313503206&sign=&ver=0"">红包</_wc_custom_link_>",1569
1,2,1,一个多月了,,1569
1,2,1,第一次大便开心,,1569
10000,4,0,"<imgsrc=""SystemMessages_HongbaoIcon.png""/>黄亮领取了你的<_wc_custom_link_color=""#FD9931""href=""weixin","//weixinhongbao/opendetail?sendid=1000039401201708287058313503206"">红包</_wc_custom_link_>",1569
1,2,1,痔疮没出雪,,1569
1,3,0,kuaful,非常好,1569
1,3,0,kuaful,@我要去西藏?人在哪里,1569
1,2,1,@我是如此想小心?人在哪里,,1569
1,2,1,大家都不关心,,1569
1,2,1,保重去哪里了,,1569
3,3,0,wxid_1252782525412,,1569
1,2,1,不丑,,1569
3,3,0,kuaful,,1569
1,2,1,[强],,1569
47,3,0,kuaful,0,1569
1,3,0,kuaful,睡了吗个个,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,早安城市,1569
1,3,0,wxid_1252782525412,起的蛮早嘛,1569
1,3,0,kuaful,值班到现在,1569
1,3,0,kuaful,马去恰一告,1569
1,3,0,kuaful,太辛苦了,1569
1,3,0,wxid_1252782525412,辛苦不辛苦,1569
1,3,0,wxid_1252782525412,人民的眼睛是雪亮的,1569
1,2,1,清如水,,1569
1,2,1,明如镜,,1569
3,2,1,,,1569
1,3,0,wxid_1252782525412,阿里人出行专驾,1569
1,2,1,142单不少了,,1569
1,3,0,kuaful,那跟恩比呢？@我爱周星驰,1569
1,3,0,wxid_1252782525412,guaiguaxingla,1569
1,3,0,kuaful,@小心我来了?安。马冲把澡。,1569
1,3,0,wxid_1252782525412,haiyourengeinichabeishidia,1569
3,2,1,,,1569
1,2,1,@小心我来了?@我是如此想小心?,,1569
1,2,1,嗯买了,,1569
1,2,1,你们快点,,1569
1,3,0,kuaful,?几区啊,1569
1,2,1,31,,1569
3,2,1,,,1569
3,2,1,,,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,就是这么爱你,1569
1,2,1,[拥抱][拥抱],,1569
3,2,1,,,1569
43,3,0,kuaful,5,1569
3,2,1,,,1569
1,2,1,@我要去西藏?,,1569
1,2,1,顺风车,,1569
1,2,1,今天质量如何啊,,1569
1,3,0,q32444005,很好,1569
3,3,0,q32444005,,1569
1,2,1,可以呢,,1569
1,3,0,wxid_1252782525412,精,1569
3,3,0,wxid_1252782525412,,1569
1,3,0,wxid_1252782525412,那个周末丈母娘生日@我是如此想小心?@我爱周星驰?抱歉,1569
1,3,0,kuaful,@小心我来了丈母娘生日，你派涵涵代表哈子啵,1569
1,3,0,kuaful,你这么重要尼？,1569
1,3,0,kuaful,反正只要张家有人出席就行了,1569
1,3,0,wxid_1252782525412,相当重要,1569
1,3,0,kuaful,你负责买单是啊？：,1569
43,3,0,kuaful,0,1569
1,3,0,wxid_1252782525412,张家人是将就礼数的,1569
1,3,0,kuaful,张陈氏和涵涵一起出席，还不够嘛,1569
1,3,0,wxid_1252782525412,届时会有陈氏一族需要嗯周旋,1569
1,3,0,q32444005,听不懂,1569
1,3,0,kuaful,刁德一,1569
1,3,0,wxid_1252782525412,浪,1569
1,2,1,@小心我来了?先发个包,,1569
3,3,0,kuaful,,1569
1,3,0,kuaful,@我爱周星驰附议,1569
1,3,0,kuaful,@小心我来了发包,1569
1,3,0,kuaful,还有上次汉庭的账,1569
1,3,0,kuaful,还没结的了尼,1569
1,3,0,kuaful,@小心我来了刁德一,1569
1,3,0,kuaful,说话、发包,1569
